Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,Latitude,Longitude,Geocoded_Address,Geocode_Quality
x Ruskindale Road,Hyde Park,02136,1,0,1,0,0,0,1,0,1,Ownership,Private,,,42.2680124,-71.1065758,"Ruskindale Rd, Boston, MA 02136, USA",full_match
x Rutherford Ave,Charlestown,02129,22,0,22,19,0,19,3,0,3,Ownership,Private,,,42.3799173,-71.0713667,"Rutherford Ave, Boston, MA 02129, USA",full_match
x Saratoga St,East Boston,02128,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,,42.3817268,-71.0226629,"Saratoga St, Boston, MA 02128, USA",full_match
x Saratoga St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,,42.3817268,-71.0226629,"Saratoga St, Boston, MA 02128, USA",full_match
x Savin Hill Ave,Dorchester,02125,14,14,0,13,13,0,1,1,0,Rental,Private,,,42.3109271,-71.0526155,"Savin Hill Ave, Boston, MA 02125, USA",full_match
x Savin Street,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,,42.3162373,-71.0802557,"Savin St, Boston, MA 02119, USA",full_match
x Schuyler St (BuildHome),Roxbury,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,,42.3085637,-71.0858085,"Schuyler St, Boston, MA 02121, USA",full_match
x Seaver Street,Dorchester,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,,42.3072304,-71.0883368,"Seaver St, Boston, MA 02121, USA",full_match
x Selden St,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,,42.2811244,-71.0793497,"Selden St, DORCHESTR CTR, MA 02124, USA",full_match
x Selden St (BuildHome),Dorchester,02124,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,,42.2811244,-71.0793497,"Selden St, DORCHESTR CTR, MA 02124, USA",full_match
x Shetland St,Roxbury,02119,57,57,0,50,50,0,7,7,0,Rental,Private,,,42.3252142,-71.067813,"Shetland St, Boston, MA 02119, USA",full_match
