Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,Latitude,Longitude,Geocoded_Address,Geocode_Quality
Abbot Street/ Shawmut Ave,Roxbury,02119,16,16,0,0,0,0,16,16,0,Rental,Private,,,42.2968538,-71.0858397,"Abbot St, Boston, MA 02124, USA",full_match
Academy Homes I,Roxbury,02119,202,202,0,52,52,0,150,150,0,Rental,Private,,,42.3213958,-71.0981671,"1592 Columbus Ave, Roxbury, MA 02119, USA",full_match
Academy Homes II,Roxbury,02119,236,236,0,0,0,0,236,236,0,Rental,Private,,Y,42.318895,-71.0952217,"2926 Washington St, Roxbury, MA 02119, USA",full_match
Adams Court Phase A,Mattapan,02126,50,50,0,0,0,0,50,50,0,Rental,Private,,,42.2826,-71.0557643,"Adams St, Boston, MA 02126, USA",full_match
Adams Court Phase B,Mattapan,02126,45,45,0,0,0,0,45,45,0,Rental,Private,,,42.2826,-71.0557643,"Adams St, Boston, MA 02126, USA",full_match
Adams Templeton Elderly Housing,Dorchester,02124,76,76,0,1,1,0,75,75,0,Rental,Private,Y,Y,42.2942384,-71.05689389999999,"445 Adams St, Dorchester, MA 02122, USA",full_match
Alcott Apts [Garden Garage],West End,02114,470,470,0,453,453,0,17,17,0,Rental,Private,,,42.36530459999999,-71.064807,"35 Lomasney Wy, Boston, MA 02114, USA",full_match
Alexander-Magnolia,Dorchester,02125,40,40,0,2,2,0,38,38,0,Rental,Private,,,42.3159733,-71.0701695,"Alexander St, Boston, MA 02125, USA",full_match
"Alice H. Taylor (Mission Hill Ext.) (2-14, -60,-84,-86,-100)",Mission Hill,02120,363,363,0,0,0,0,363,363,0,Rental,Public,,,42.3298994,-71.1059676,"Mission Hill, Boston, MA, USA",full_match
Allele Condominium,South Boston,02127,47,0,47,41,0,41,6,0,6,Ownership,Private,,,42.3416366,-71.0567932,"150 Dorchester Ave, Boston, MA 02127, USA",full_match
Alleyne (VUP) CDFI,Roxbury,02121,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,,42.33763099999999,-71.10511,"300 Longwood Ave, Boston, MA 02115, USA",full_match
Alpine Street Village,Hyde Park,02136,44,0,44,40,0,40,4,0,4,Rental,Private,,,42.2646522,-71.1018239,"Alpine St, Boston, MA 02136, USA",full_match
Amiff Housing,Dorchester,02124,96,96,0,0,0,0,96,96,0,Rental,Private,,Y,42.2901849,-71.0725885,"339 Talbot Ave, Boston, MA 02124, USA",full_match
Amory Foundry (Phase I),Jamaica Plain,02130,23,0,23,18,,18,5,0,5,Ownership,Private,,,42.3126341,-71.1056229,"Amory St, Boston, MA 02130, USA",full_match
Amory Street (2-45),Jamaica Plain,02119,215,215,0,0,0,0,215,215,0,Rental,Private,Y,,42.3197517,-71.0998234,"Amory St, Boston, MA 02119, USA",full_match
Amory Terrace,Jamaica Plain,02119,64,64,0,0,0,0,64,64,0,Rental,Private,,,42.3203707,-71.1001587,"Amory Terrace, Boston, MA 02119, USA",full_match
Amy Lowell House,West End,02114,152,152,0,30,30,0,122,122,0,Rental,Private,,,42.3656965,-71.06585729999999,"65 Martha Rd # 4b, Boston, MA 02114, USA",full_match
Anderson Park,Beacon Hill,02114,64,64,0,0,0,0,64,64,0,Rental,Private,Y,Y,42.3610184,-71.067938,"318 Anderson St, Boston, MA 02114, USA",full_match
Andrade (VUP),Dorchester,02122,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,,42.2829825,-71.0557139,"782 Adams St, Dorchester Center, MA 02124, USA",full_match
Andrew Square Apts,South Boston,02127,9,9,0,0,0,0,9,9,0,Rental,Private,,,42.3364553,-71.0349193,"South Boston, MA 02127, USA",full_match
Angela Westover House,Jamaica Plain,02130,11,11,0,0,0,0,11,11,0,Rental,Private,Y,Y,42.31401959999999,-71.11102749999999,"49 Parley Ave, Boston, MA 02130, USA",full_match
Annapolis (2-27),Dorchester,02125,56,56,0,0,0,0,56,56,0,Rental,Public,Y,,42.3174661,-71.0621164,"Annapolis St, Boston, MA 02125, USA",full_match
Archdale (200-7),Roslindale,02131,285,285,0,0,0,0,285,285,0,Rental,Public,,,42.2924958,-71.120918,"Archdale Rd, Boston, MA 02131, USA",full_match
Archstone Boston Common,Chinatown,02111,420,420,0,374,374,0,46,46,0,Rental,Private,,,42.35181679999999,-71.0624516,"660 Washington St, Boston, MA 02111, USA",full_match
Armory Condos,Charlestown,02129,42,0,42,36,0,36,6,0,6,Ownership,Private,,,42.382251,-71.0694248,"Charlestown Armory Condominiums, Boston, MA 02129, USA",full_match
Ashmont (2-28),Dorchester,02124,54,54,0,0,0,0,54,54,0,Rental,Public,Y,,42.2830311,-71.063148,"Ashmont, Boston, MA, USA",full_match
Ashmont TOD (Housing),Dorchester,02124,116,74,42,42,0,42,74,74,0,Rental,Private,,,42.2830311,-71.063148,"Ashmont, Boston, MA, USA",full_match
Astoria Street Condos (Elizabeth Street),Mattapan,02126,3,0,3,0,0,0,3,0,3,Ownership,Private,,,42.2797035,-71.0874181,"Astoria St, Boston, MA 02126, USA",full_match
Atlantic Wharf,Downtown,02210,86,86,0,81,81,0,5,5,0,Rental,Private,,,42.353251,-71.0529222,"280 - 290 Congress St, Boston, MA 02210, USA",full_match
Atrium Lofts,East Boston,02128,218,0,218,186,0,186,32,0,32,Ownership ,Private,,,42.36421600000001,-71.03116299999999,"282 Marginal St, Boston, MA 02128, USA",full_match
Audubon Apts,Mattapan,02126,37,37,0,5,5,0,32,32,0,Rental,Private,,,42.2880994,-71.1012022,"Mass Audubon's Boston Nature Center and Wildlife Sanctuary, 500 Walk Hill St, Mattapan, MA 02126, USA",full_match
Ausonia (2-61),North End,02109,100,100,0,0,0,0,100,100,0,Rental,Public,Y,,42.3620682,-71.05228389999999,"Ausonia Plaza, Boston, MA 02109, USA",full_match
Ava Theater District,Downtown,02116,398,398,0,358,358,0,40,40,0,Rental,Private,,,42.3524413,-71.0638216,"47 Boylston St, Boston, MA 02116, USA",full_match
Avalon at North Station,West End,02114,503,503,0,473,473,0,30,30,0,Rental,Private,,,42.365947,-71.063473,"1 Nashua St, Boston, MA 02114, USA",full_match
Avalon at Prudential Center,Back Bay,02116,188,188,0,182,182,0,6,6,0,Rental,Private,,,42.347929,-71.0794672,"770 Boylston St, Boston, MA 02199, USA",full_match
Avana Lofts,Chinatown,02111,32,32,0,29,29,0,3,3,0,Rental,Private,,,42.35157359999999,-71.0610291,"42 Beach St, Boston, MA 02111, USA",full_match
Avenir Development,West End,02114,241,241,0,224,224,0,17,17,0,Rental,Private,,,42.3646028,-71.05970239999999,"101 Canal St, Boston, MA 02114, USA",full_match
Avondale Place,Mission Hill,02115,22,22,0,0,0,0,22,22,0,Rental,Private,,,42.339904,-71.0898892,"Boston, MA 02115, USA",full_match
Babcock Tower,Allston,02134,213,213,0,53,53,0,160,160,0,Rental,Private,,Y,42.3527973,-71.1217406,"Babcock Tower, 270 Babcock St, Boston, MA 02215, USA",full_match
Back of the Hill 202,Mission Hill,02130,125,125,0,0,0,0,125,125,0,Rental,Private,Y,Y,42.329418,-71.1108436,"Back Of The Hill, 100 S Huntington Ave, Boston, MA 02130, USA",full_match
Back of the Hill HOP,Mission Hill,02120,149,0,149,58,0,58,91,0,91,Ownership,Private,,,42.329418,-71.1108436,"Back Of The Hill, 100 S Huntington Ave, Boston, MA 02130, USA",full_match
Bailey (VUP),Roxbury,02121,1,1,0,0,0,0,1,1,0,Rental,Private,,,42.2840687,-71.0679482,"Bailey St, Boston, MA 02124, USA",full_match
Baker Square Condominium,Mattapan,02124,60,60,0,52,52,0,8,8,0,Rental,Private,,,42.27131749999999,-71.06900999999999,"1243 Adams St, Boston, MA 02124, USA",full_match
Balina Place at Norfolk St/Habitat,Dorchester,02124,3,0,3,0,0,0,3,0,3,Ownership,Private,,,42.2867712,-71.079183,"Norfolk St & Balina Pl, Boston, MA 02124, USA",full_match
Bancroft Apts,Jamaica Plain,02119,45,45,0,0,0,0,45,45,0,Rental,Private,,Y,42.3180488,-71.0985287,"Bancroft St, Boston, MA 02119, USA",full_match
Baptista (VUP),Dorchester,02125,1,1,0,0,0,0,1,1,0,Rental,Private,,,42.3157363,-71.0527482,"Dorchester, MA 02125, USA",full_match
Barlett Square,Jamaica Plain,02130,13,0,13,11,0,11,2,0,2,Ownership,Private,,,42.3782602,-71.0638956,"Bartlett St, Boston, MA 02129, USA",full_match
Barnes School 202,East Boston,02128,74,74,0,0,0,0,74,74,0,Rental,Private,Y,,42.3769188,-71.03662059999999,"Boston, MA 02128, USA",full_match
Bartlett Place Building E,Roxbury,02119,16,0,16,14,0,14,2,0,2,Ownership,Private,,,42.3284857,-71.0888166,"Bartlett St, Boston, MA 02119, USA",full_match
Bartlett Place/Building B,Roxbury,02119,60,0,60,22,22,0,38,38,0,Rental,Private,,,42.3284857,-71.0888166,"Bartlett St, Boston, MA 02119, USA",full_match
Basilica (667-6),Charlestown,02129,5,5,0,0,0,0,5,5,0,Rental,Public,Y,,42.37726929999999,-71.0511391,"106 13th St #110, Boston, MA 02129, USA",full_match
Bates School/Artblock 731,South End,02118,54,0,54,30,0,30,24,0,24,Ownership,Private,,,42.338048,-71.0716686,"731 Harrison Ave, Boston, MA 02118, USA",full_match
Bay Cove Group Homes I,Roslindale,02131,26,26,0,0,0,0,26,26,0,Rental,Private,,Y,42.3169341,-71.05892229999999,"30 Pleasant St, Dorchester, MA 02125, USA",full_match
Bay Cove Group Homes III,South Boston,02127,12,12,0,0,0,0,12,12,0,Rental,Private,,Y,42.3720114,-71.0623348,"1 City Square, Boston, MA 02129, USA",full_match
Bay Cove Group Homes IV,Dorchester,02125,9,9,0,1,1,0,8,8,0,Rental,Private,,,42.3169341,-71.05892229999999,"30 Pleasant St, Dorchester, MA 02125, USA",full_match
Bay Cove Hyde Park,Roslindale,02131,12,12,0,0,0,0,12,12,0,Rental,Private,,,42.2810491,-71.1188125,"Hyde Park Ave, Boston, MA 02131, USA",full_match
BCN Properties,Roxbury,02119,53,53,0,0,0,0,53,53,0,Rental,Private,,Y,42.3202516,-71.08685489999999,"30 Bower St, Boston, MA 02119, USA",full_match
Beacon House,Beacon Hill,02114,135,135,0,50,50,0,85,85,0,Rental,Private,Y,Y,42.3627286,-71.0691835,"55 Fruit St #148, Boston, MA 02114, USA",full_match
Beasley (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.3065441,-71.08246129999999,"Grove Hall, MA 02121, USA",full_match
Belgrade Place,West Roxbury,02132,39,39,0,34,0,34,5,5,0,Rental,Private,,,42.2865749,-71.1500538,"446 Belgrade Ave Ste 205, West Roxbury, MA 02132, USA",full_match
Bellflower (2-77),Dorchester,02125,114,114,0,0,0,0,114,114,0,Rental,Public,Y,,42.3244269,-71.0580255,"Bellflower St, Boston, MA 02125, USA",full_match
"Berkeley Investments, Inc.",South Boston Waterfront,02127,88,0,88,80,0,80,8,0,8,Ownership,Private,,,42.3555165,-71.0530382,"125 High St #531, Boston, MA 02110, USA",full_match
Beryl Gardens,Roxbury,02119,20,20,0,0,0,0,20,20,0,Rental,Private,,,42.2835976,-71.139384,"Beryl St, Boston, MA 02131, USA",full_match
BHA Infill 1A - Quincy Geneva,Roxbury,02121,18,0,18,0,0,0,18,0,18,Ownership,Private,,,42.3071225,-71.07694479999999,"200 Columbia Rd, Dorchester, MA 02121, USA",full_match
BHA Infill 1B - Codman Square NDC,Dorchester,02124,2,0,2,0,0,0,2,0,2,Ownership,Private,,,42.27813020000001,-71.07447530000002,"1 Codman St, Boston, MA 02124, USA",full_match
BHA Infill 2 - Urban Edge,Roxbury,02119,15,5,10,0,0,0,15,5,10,Ownership/Rental,Private,,,42.32331660000001,-71.09826799999999,"1542 Columbus Ave, Roxbury, MA 02119, USA",full_match
BHA Infill 3 - Nuestra,Roxbury,02119,10,4,6,0,0,0,10,4,6,Ownership/Rental,Private,,,42.3257874,-71.0754975,"Jardin De La Amistad Community Garden, 405 Dudley St, Boston, MA 02119, USA",full_match
BHP Codman Square,Dorchester,02124,80,80,0,0,0,0,80,80,0,Rental,Private,,,42.2902788,-71.0711127,"Codman Square Park, 360 Talbot Ave, Boston, MA 02124, USA",full_match
BHP Fields Corner,Dorchester,02122,77,77,0,0,0,0,77,77,0,Rental,Private,,Y,42.3000984,-71.0578281,"Fields Corner, Boston, MA 02122, USA",full_match
BHP Frawley-Delle,Mission Hill,02115,74,74,0,0,0,0,74,74,0,Rental,Private,,Y,42.334263,-71.10370300000001,"706 Huntington Ave, Boston, MA 02115, USA",full_match
BHP Hano Street,Allston,02134,20,20,0,0,0,0,20,20,0,Rental,Private,,Section 8 or MRVP,42.3554977,-71.1373981,"Hano St, Boston, MA 02134, USA",full_match
BHP Lena Park,Dorchester,02121,93,93,0,0,0,0,93,93,0,Rental,Private,,,42.2950115,-71.09237689999999,"150 American Legion Hwy, Dorchester, MA 02124, USA",full_match
BHP Quincy-Geneva,Roxbury,02121,49,49,0,0,0,0,49,49,0,Rental,Private,,Y,42.3071225,-71.07694479999999,"200 Columbia Rd, Dorchester, MA 02121, USA",full_match
BHP Washington Park,Jamaica Plain,02119,96,96,0,0,0,0,96,96,0,Rental,Private,,,42.3170687,-71.08840359999999,"Washington Park, Boston, MA, USA",full_match
BHP Westland Ave,Fenway,02115,20,20,0,5,5,0,15,15,0,Rental,Private,,,42.3436107,-71.0875909,"Westland Ave, Boston, MA 02115, USA",full_match
Bickford (2-25),Jamaica Plain,02130,56,56,0,0,0,0,56,56,0,Rental,Public,Y,,42.3247088,-71.1017313,"Bickford St, Boston, MA 02130, USA",full_match
Bird St. Estates,Roxbury,02125,8,1,7,0,0,0,8,1,7,Ownership/Rental,Private,,,42.3142052,-71.0694227,"Bird St, Boston, MA 02125, USA",full_match
Blackstone Apts,West End,02114,145,145,0,0,0,0,145,145,0,Rental,Private,Y,Y,42.3626046,-71.0667577,"33 Blossom St #203, Boston, MA 02114, USA",full_match
Blake Estates I,Hyde Park,02136,175,175,0,0,0,0,175,175,0,Rental,Private,Y,Y,42.2520427,-71.12462359999999,"1344 Hyde Park Ave, Hyde Park, MA 02136, USA",full_match
Blake Estates II,Hyde Park,02136,88,88,0,0,0,0,88,88,0,Rental,Private,Y,Y,42.2520427,-71.12462359999999,"1344 Hyde Park Ave, Hyde Park, MA 02136, USA",full_match
Blandino Farms,Dorchester,02124,16,0,16,14,0,14,2,0,2,Ownership,Private,,,42.2826027,-71.067605,"DORCHESTR CTR, MA 02124, USA",full_match
Blessed Sacrament Mixed-Use (Rental + SRO),Jamaica Plain,02130,65,65,0,0,0,0,65,65,0,Rental,Private,,,42.3235566,-71.1074907,"30 Sunnyside St, Jamaica Plain, MA 02130, USA",full_match
Bloomfield Gardens,Dorchester,02124,27,27,0,0,0,0,27,27,0,Rental,Private,,,42.2996918,-71.0656087,"455-475 Geneva Ave, Dorchester, MA 02122, USA",full_match
Blue Hill Commons,Roxbury,02119,8,1,7,0,0,0,8,1,7,Ownership/Rental,Private,,,42.3203547,-71.0777786,"Blue Hill Ave, Boston, MA 02119, USA",full_match
Blue Mountain Assoc.,Roxbury,02121,217,217,0,0,0,0,217,217,0,Rental,Private,,Y,42.2801885,-71.0932545,"1301 Blue Hill Ave Unit C, Boston, MA 02126, USA",full_match
Border Falcon Condominiums,East Boston,02128,14,0,14,0,0,0,14,0,14,Ownership,Private,,,42.3819724,-71.0403398,"Border St & Falcon St, Boston, MA 02128, USA",full_match
Boston East,East Boston,02128,200,200,0,174,174,0,26,26,0,Rental,Private,,,42.3695431,-71.0200613,"East Boston, MA 02128, USA",full_match
Boston Kenmore Realty LLC,Leather District,02111,54,0,54,49,0,49,5,0,5,Ownership,Private,,,42.3506445,-71.0574199,"Leather District, Boston, MA, USA",full_match
Boston Landing,Brighton,02135,295,295,0,257,257,0,38,38,0,Rental,Private,,,42.3573178,-71.1401351,"Boston Landing, Boston, MA 02135, USA",full_match
Boston Rehab,Fenway,02115,144,144,0,0,0,0,144,144,0,Rental,Private,Y,Y,42.339904,-71.0898892,"Boston, MA 02115, USA",full_match
Boston Trailer Park Tenants,West Roxbury,02132,104,104,0,26,26,0,78,78,0,Rental,Private,,,42.2679748,-71.17253869999999,"1515 VFW Pkwy, West Roxbury, MA 02132, USA",full_match
Boston Wharf Tower,South Boston Waterfront,02127,202,202,0,180,180,0,22,22,0,Rental,Private,,,42.3602611,-71.0480944,"66 Long Wharf, Boston, MA 02110, USA",full_match
Boston's Hope in Dorchester,Dorchester,02124,41,41,0,0,0,0,41,41,0,Rental,Private,Y,,42.2948951,-71.0827055,"71 Kingsdale St, Dorchester Center, MA 02124, USA",full_match
Bowditch School Lodging House,Jamaica Plain,02130,46,46,0,0,0,0,46,46,0,Rental,Private,,,42.3117446,-71.1093508,"82 Green St, Boston, MA 02130, USA",full_match
Bowdoin Geneva Phase III (HOME AGAIN),Dorchester,02122,20,2,18,0,0,0,20,2,18,Ownership/Rental,Private,,,42.30519109999999,-71.0687641,"200 Bowdoin St, Dorchester, MA 02122, USA",full_match
Bowdoin Place,Downtown,02114,75,0,75,56,0,56,19,0,19,Ownership,Private,Y,,42.3613106,-71.0628458,"Bowdoin St, Boston, MA 02114, USA",full_match
Bowdoin School,Beacon Hill,02114,35,35,0,0,0,0,35,35,0,Rental,Private,Y,Y,42.3593991,-71.0661841,"45 Myrtle St, Boston, MA 02114, USA",full_match
Bowdoin/Geneva - HOME AGAIN,Dorchester,02125,7,0,7,0,0,0,7,0,7,Ownership,Private,,,42.3058793,-71.0678411,"230 Bowdoin St, Dorchester, MA 02122, USA",full_match
Bowdoin/Geneva (Phase II),Dorchester,02125,10,5,5,2,1,1,8,4,4,Ownership/Rental,Private,,,42.30342419999999,-71.0714706,"Geneva Ave & Bowdoin St, Boston, MA 02121, USA",full_match
Bowdoin-Geneva & Dudley FTHB,Dorchester,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,,42.3058793,-71.0678411,"230 Bowdoin St, Dorchester, MA 02122, USA",full_match
Bowdoin-Geneva & Dudley Rental,Roxbury,02119,3,3,0,0,0,0,3,3,0,Rental,Private,,,42.30519109999999,-71.0687641,"200 Bowdoin St, Dorchester, MA 02122, USA",full_match
Bowen (VUP),Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.3357815,-71.0505996,"Bowen St, Boston, MA 02127, USA",full_match
Boylston St Mixed Use,Back Bay,02116,85,85,0,75,75,0,10,10,0,Rental,Private,,,42.3495627,-71.0793073,"Boylston St, Boston, MA, USA",full_match
Boylston West (Fenway Triangle Mixed Use),Fenway,02215,172,172,0,159,159,0,13,13,0,Rental,Private,,,42.3429178,-71.09983609999999,"110 Peterborough St, Boston, MA 02215, USA",full_match
Bradford Estates,Dorchester,02124,24,0,24,0,0,0,24,0,24,Ownership,Private,,,42.2714988,-71.0778927,"Bradford Rd, Boston, MA 02126, USA",full_match
Bradlee-Fowler,Dorchester,02124,3,1,2,0,0,0,3,1,2,Ownership/Rental,Private,,,42.2972093,-71.0738814,"Bradlee St, Boston, MA 02124, USA",full_match
Bradley Properties,South End,02118,70,70,0,0,0,0,70,70,0,Rental,Private,,Y,42.3415917,-71.0712595,"342 Shawmut Ave, Boston, MA 02118, USA",full_match
Brandywyne Village,East Boston,02128,402,402,0,136,136,0,266,266,0,Rental,Private,,Y,42.3868014,-71.0123878,"88 Brandywyne Dr, East Boston, MA 02128, USA",full_match
Brantley (VUP),Mattapan,02126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.2771417,-71.0913748,"Mattapan, MA 02126, USA",full_match
Braxton (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.3065441,-71.08246129999999,"Grove Hall, MA 02121, USA",full_match
Brewery Lofts,Mission Hill,02130,79,0,79,71,0,71,8,0,8,Ownership,Private,,,42.3277009,-71.1085362,"251 Heath St, Jamaica Plain, MA 02130, USA",full_match
BRIAN J HONAN APARTMENTS,Allston,02134,50,50,0,0,0,0,50,50,0,Rental,Private,,,42.3601136,-71.12809440000001,"300 N Harvard St, Boston, MA 02134, USA",full_match
Brighton Gardens,Brighton,02135,62,62,0,49,49,0,13,13,0,Rental,Private,Y,,42.3533781,-71.1356574,"Brighton Ave, Boston, MA, USA",full_match
Brighton-Allston Apts,Allston,02134,62,62,0,0,0,0,62,62,0,Rental,Private,Y,,42.3528712,-71.1334375,"56 Park Vale Ave, Allston, MA 02134, USA",full_match
Brighton-Allston Elderly,Brighton,02134,80,80,0,1,1,0,79,79,0,Rental,Private,Y,Y,42.3593008,-71.1270268,"Allston, MA 02134, USA",full_match
"Bromley Park (2-19, -75, -101)",Jamaica Plain,02130,779,779,0,0,0,0,779,779,0,Rental,Public,Y,,42.3258524,-71.0995103,"Bromley St, Boston, MA 02130, USA",full_match
Brook Avenue Cooperative,Roxbury,02119,36,36,0,0,0,0,36,36,0,Cooperative,Private,,,42.3219813,-71.0745219,"147 Moreland St, Roxbury, MA 02119, USA",full_match
"Brookford, Dalin and Dean St. Homes (Julian Phase 2 HOME AGAIN)",Roxbury,02125,18,1,17,0,0,0,18,1,17,Ownership/Rental,Private,,,42.3195198,-71.0741496,"Dean St, Boston, MA 02125, USA",full_match
Brookside Artists Housing,Jamaica Plain,02130,21,0,21,3,0,3,18,0,18,Ownership,Private,,,42.3118758,-71.1047497,"Brookside Ave, Boston, MA 02130, USA",full_match
Brookview House,Dorchester,02124,8,8,0,0,0,0,8,8,0,Rental,Private,,,42.2884667,-71.0904097,"2 Brookview St #1, Boston, MA 02124, USA",full_match
Brookview House II,Dorchester,02124,12,12,0,0,0,0,12,12,0,Rental,Private,,,42.2884667,-71.0904097,"2 Brookview St #1, Boston, MA 02124, USA",full_match
Brookview House III,Dorchester,02124,12,12,0,0,0,0,12,12,0,Rental,Private,,,42.2884667,-71.0904097,"2 Brookview St #1, Boston, MA 02124, USA",full_match
Brown (VUP),Dorchester,02121,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,,42.3211979,-71.0723205,"559 Dudley St, Dorchester, MA 02125, USA",full_match
"Brown, J & D (VUP)",Roxbury,02121,1,1,0,0,0,0,1,1,0,Rental,Private,,,42.3412933,-71.047937,"D St, Boston, MA, USA",full_match
Brown-Kaplan Townhomes,Dorchester,02124,60,60,0,0,0,0,53,53,0,Rental,Private,,Y,42.3058793,-71.0678411,"230 Bowdoin St, Dorchester, MA 02122, USA",full_match
Brownstone Apartments,South End,02118,75,75,0,0,0,0,75,75,0,Rental,Private,,Y,42.3393454,-71.0788802,"163 W Springfield St, Boston, MA 02118, USA",full_match
Brunswick Street,Dorchester,02121,3,3,0,0,0,0,3,3,0,Rental,Private,,,42.3104546,-71.0789968,"Brunswick St, Boston, MA 02121, USA",full_match
Brush Hill Commons,Jamaica Plain,02130,14,0,14,8,0,8,6,0,6,Ownership,Private,,,42.2977687,-71.1134044,"Hillside Ave, Boston, MA 02130, USA",full_match
Buckminster Hotel,Fenway,02215,18,18,0,16,16,0,2,2,0,Rental,Private,,,42.3483477,-71.0982036,"665 Beacon St, Boston, MA 02215, USA",full_match
Buildable Lots - Codman Square,Dorchester,,6,0,6,1,0,1,5,0,5,Ownership,Private,,,42.2902788,-71.0711127,"Codman Square Park, 360 Talbot Ave, Boston, MA 02124, USA",full_match
Buildable Lots - Ferndale,Dorchester,02124,12,0,12,3,0,3,9,0,9,Ownership,Private,,,42.2886349,-71.0772812,"Ferndale St, Boston, MA 02124, USA",full_match
Buildable Lots - Uphams,Dorchester,,6,0,6,0,0,0,6,0,6,Ownership,Private,,,42.3170249,-71.06512339999999,"Upham's Corner, Boston, MA, USA",full_match
Buildable Lots- 1&2,Dorchester,02124,15,0,15,6,0,6,9,0,9,Ownership,Private,,,42.2793131,-71.06586399999999,"1/2, Dorchester, MA 02124, USA",full_match
Buildable Lots- 3&4,Dorchester,,18,0,18,8,0,8,10,0,10,Ownership,Private,,,42.33783589999999,-71.0428798,"3 Dorchester St, Boston, MA 02127, USA",full_match
Buildable Lots- 5,Dorchester,02124,9,0,9,0,0,0,9,0,9,Ownership,Private,,,42.2826027,-71.067605,"DORCHESTR CTR, MA 02124, USA",full_match
Buildable Lots- 6,Mattapan,02126,12,0,12,0,0,0,12,0,12,Ownership,Private,,,42.2771417,-71.0913748,"Mattapan, MA 02126, USA",full_match
Building 104,Charlestown,02129,46,46,0,0,0,0,46,46,0,Rental,Private,,,42.37954089999999,-71.0646337,"Charlestown, MA 02129, USA",full_match
Builduing 33 at Navy Yard,Charlestown,02129,47,47,0,41,41,0,6,6,0,Rental,Private,,,42.373293,-71.05662389999999,"1st Ave &, 3rd St, Charlestown, MA 02129, USA",full_match
Burbank Gardens,Fenway,02115,52,52,0,0,0,0,52,52,0,Rental,Private,,Y,42.34430630000001,-71.0889576,"70 Burbank St, Boston, MA 02115, USA",full_match
Burton Apts (18u),Roxbury,02120,18,18,0,0,0,0,18,18,0,Rental,Private,,Y,42.3221637,-71.0808375,"Burton Ave, Boston, MA 02119, USA",full_match
Burton-Dudley,Roxbury,02119,16,16,0,0,0,0,16,16,0,Rental,Private,,,42.3221637,-71.0808375,"Burton Ave, Boston, MA 02119, USA",full_match
Call Carolina Homes,Jamaica Plain,02130,8,0,8,0,0,0,8,0,8,Ownership,Private,,,42.3069799,-71.1104807,"Call St, Boston, MA 02130, USA",full_match
Callender|Floyd|Stratton NHI 1,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,,42.2880541,-71.0845385,"Floyd St & Callender St, Boston, MA 02124, USA",full_match
Callender|Floyd|Stratton NHI 2,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,,42.2880541,-71.0845385,"Floyd St & Callender St, Boston, MA 02124, USA",full_match
Callender|Floyd|Stratton NHI 3,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,,42.280424,-71.0465821,"MA-3, DORCHESTR CTR, MA 02124, USA",full_match
Callender|Floyd|Stratton NHI 4,Mattapan,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,,42.2880541,-71.0845385,"Floyd St & Callender St, Boston, MA 02124, USA",full_match
Callender|Floyd|Stratton NHI 5,Mattapan,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,,42.2880541,-71.0845385,"Floyd St & Callender St, Boston, MA 02124, USA",full_match
Callender|Floyd|Stratton NHI 6,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,,42.2880541,-71.0845385,"Floyd St & Callender St, Boston, MA 02124, USA",full_match
Callender|Floyd|Stratton NHI 7,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership,Private,,,42.2880541,-71.0845385,"Floyd St & Callender St, Boston, MA 02124, USA",full_match
Callender|Floyd|Stratton NHI 8,Mattapan,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,,42.2880541,-71.0845385,"Floyd St & Callender St, Boston, MA 02124, USA",full_match
Callender|Floyd|Stratton NHI 9,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,,42.2880541,-71.0845385,"Floyd St & Callender St, Boston, MA 02124, USA",full_match
Callender|Tucker NHI 1,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership,Private,,,42.2783098,-71.0479218,"US-1, DORCHESTR CTR, MA 02124, USA",full_match
Callender|Tucker NHI 2,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,,42.2886418,-71.0795441,"Tucker St, Boston, MA 02124, USA",full_match
